"Band1","Band2","Band3","Band4","Band5","Band6","Band7","Band8","NDVI","GNDVI","NDRE","NDWI","DVI","SR","Class","Class_int"
0.0718,0.057,0.0935,0.0767,0.108,0.0883,0.1204,0.293,0.536847626540782,0.585068974844469,0.417513304305757,-0.585068974844469,0.2047,3.31823329558324,"vegetation",1
0.0754,0.0639,0.0912,0.0767,0.1098,0.0891,0.1205,0.2987,0.540484785972151,0.591369206180075,0.425095419847328,-0.591369206180075,0.2096,3.35241301907969,"vegetation",1
0.075,0.0636,0.097,0.0832,0.1153,0.0935,0.1188,0.2986,0.523080846722775,0.564169722367732,0.430761859127935,-0.564169722367732,0.2051,3.19358288770053,"vegetation",1
0.0653,0.0437,0.0808,0.0557,0.0806,0.0581,0.0939,0.26,0.634706067274442,0.647133354450428,0.469341621927098,-0.647133354450428,0.2019,4.4750430292599,"vegetation",1
0.0645,0.0449,0.0815,0.0614,0.0846,0.0631,0.0975,0.2598,0.609166924744503,0.617683686176837,0.45424013434089,-0.617683686176837,0.1967,4.11727416798732,"vegetation",1
0.0698,0.0499,0.0874,0.0713,0.1034,0.083,0.1112,0.2445,0.493129770992366,0.548448385053832,0.374754006184987,-0.548448385053832,0.1615,2.94578313253012,"vegetation",1
0.0697,0.0531,0.0908,0.0762,0.1044,0.0794,0.1126,0.2613,0.533900792486058,0.548444444444445,0.397699919764643,-0.548444444444445,0.1819,3.29093198992443,"vegetation",1
0.0662,0.0505,0.0895,0.0681,0.093,0.072,0.1134,0.2728,0.582366589327146,0.600469345849223,0.412739513205593,-0.600469345849223,0.2008,3.78888888888889,"vegetation",1
0.0862,0.0778,0.1211,0.1057,0.1396,0.1298,0.1588,0.3089,0.408251652609984,0.490110950313555,0.320932221509515,-0.490110950313555,0.1791,2.37981510015408,"vegetation",1
0.0916,0.0769,0.116,0.1054,0.1425,0.1236,0.1542,0.2943,0.408470926058866,0.472604453340005,0.312374581939799,-0.472604453340005,0.1707,2.38106796116505,"vegetation",1
0.0752,0.0606,0.0951,0.0862,0.1179,0.098,0.1346,0.2813,0.483258634326391,0.530884353741497,0.352729021399375,-0.530884353741497,0.1833,2.87040816326531,"vegetation",1
0.0621,0.0469,0.0827,0.0638,0.0971,0.0783,0.112,0.2519,0.525741974560872,0.595818815331011,0.384446276449574,-0.595818815331011,0.1736,3.21711366538953,"vegetation",1
0.0701,0.0503,0.0876,0.0714,0.1049,0.0841,0.1141,0.2759,0.532777777777778,0.588828102505039,0.414871794871795,-0.588828102505039,0.1918,3.28061831153389,"vegetation",1
0.0592,0.0349,0.0764,0.0547,0.0787,0.0526,0.0795,0.2535,0.656321463573995,0.645035691109669,0.522522522522522,-0.645035691109669,0.2009,4.81939163498099,"vegetation",1
0.066,0.0475,0.0884,0.0701,0.0997,0.0711,0.1167,0.3101,0.626967471143757,0.631246712256707,0.453139643861293,-0.631246712256707,0.239,4.36146272855134,"vegetation",1
0.0762,0.0622,0.1024,0.0878,0.1205,0.0981,0.1351,0.283,0.485174494883233,0.526429341963323,0.353743123654628,-0.526429341963323,0.1849,2.88481141692151,"vegetation",1
0.0684,0.043,0.0857,0.0671,0.0905,0.0662,0.1088,0.2803,0.617893217893218,0.613701784686241,0.440760729889489,-0.613701784686241,0.2141,4.23413897280967,"vegetation",1
0.0633,0.0345,0.0756,0.0589,0.0805,0.0523,0.0994,0.318,0.7175263300027,0.687450252056248,0.523718255869669,-0.687450252056248,0.2657,6.08030592734226,"vegetation",1
0.0811,0.0562,0.0969,0.0819,0.1062,0.086,0.1236,0.2933,0.546533087266016,0.563432835820896,0.407052050851523,-0.563432835820896,0.2073,3.41046511627907,"vegetation",1
0.0572,0.0379,0.0756,0.0563,0.0754,0.0507,0.091,0.2589,0.672480620155039,0.642766497461929,0.479851386110317,-0.642766497461929,0.2082,5.10650887573965,"vegetation",1
0.063,0.0351,0.0801,0.0609,0.0828,0.0576,0.0994,0.2825,0.661276095266098,0.645311589982528,0.479444880858864,-0.645311589982528,0.2249,4.90451388888889,"vegetation",1
0.0617,0.0373,0.0781,0.0583,0.0821,0.053,0.1006,0.2956,0.695926563396443,0.670528397852501,0.492175668854114,-0.670528397852501,0.2426,5.57735849056604,"vegetation",1
0.0589,0.0357,0.0746,0.0552,0.0759,0.0457,0.093,0.2898,0.727570789865872,0.68,0.5141065830721,-0.68,0.2441,6.34135667396061,"vegetation",1
0.0643,0.0368,0.0749,0.0605,0.0867,0.0617,0.096,0.2232,0.566865566865567,0.573493126542122,0.398496240601504,-0.573493126542122,0.1615,3.61750405186386,"vegetation",1
0.07,0.0412,0.0789,0.0611,0.0886,0.0624,0.0939,0.2356,0.581208053691275,0.588136164475902,0.430045523520486,-0.588136164475902,0.1732,3.77564102564103,"vegetation",1
0.0696,0.045,0.0877,0.0745,0.0932,0.07,0.1189,0.3062,0.627857522594365,0.608615707906488,0.440602211244413,-0.608615707906488,0.2362,4.37428571428571,"vegetation",1
0.0736,0.0467,0.0832,0.067,0.098,0.073,0.1136,0.2697,0.573971403559965,0.602019602019602,0.407252804591704,-0.602019602019602,0.1967,3.69452054794521,"vegetation",1
0.0761,0.0535,0.1,0.0812,0.1207,0.0952,0.1358,0.2836,0.497360084477297,0.554824561403509,0.35240820219361,-0.554824561403509,0.1884,2.97899159663866,"vegetation",1
0.0748,0.0491,0.0923,0.0756,0.1062,0.0785,0.1142,0.2575,0.532738095238095,0.546082257580306,0.385525961797148,-0.546082257580306,0.179,3.28025477707006,"vegetation",1
0.0757,0.0523,0.0886,0.0735,0.1068,0.0801,0.1087,0.2533,0.519496100779844,0.550183598531212,0.399447513812155,-0.550183598531212,0.1732,3.16229712858926,"vegetation",1
0.0719,0.0488,0.0894,0.0725,0.1059,0.0764,0.1081,0.2674,0.555555555555556,0.573403942335981,0.424234354194407,-0.573403942335981,0.191,3.5,"vegetation",1
0.0687,0.0456,0.0881,0.0727,0.0974,0.0742,0.1155,0.2865,0.588577765456058,0.59521158129176,0.425373134328358,-0.59521158129176,0.2123,3.86118598382749,"vegetation",1
0.0656,0.0444,0.0819,0.0687,0.0946,0.0657,0.1175,0.2842,0.624464132609317,0.610654576367243,0.414986308190192,-0.610654576367243,0.2185,4.32572298325723,"vegetation",1
0.0677,0.0369,0.0733,0.0552,0.0816,0.0605,0.0885,0.2313,0.585332419465387,0.614659685863874,0.446529080675422,-0.614659685863874,0.1708,3.82314049586777,"vegetation",1
0.0749,0.0555,0.096,0.0823,0.1121,0.0878,0.1205,0.2364,0.458359037631092,0.483526827737684,0.324740823760157,-0.483526827737684,0.1486,2.69248291571754,"vegetation",1
0.0739,0.0487,0.0894,0.07,0.1041,0.0807,0.1173,0.2638,0.531494920174165,0.580587177950869,0.384413539753345,-0.580587177950869,0.1831,3.26889714993804,"vegetation",1
0.0706,0.0468,0.0869,0.0704,0.0972,0.0709,0.1117,0.2631,0.575449101796407,0.577811094452774,0.403948772678762,-0.577811094452774,0.1922,3.71086036671368,"vegetation",1
0.0562,0.0306,0.0671,0.044,0.0691,0.0413,0.0783,0.2511,0.717510259917921,0.701796001355473,0.524590163934426,-0.701796001355473,0.2098,6.07990314769976,"vegetation",1
0.0563,0.0317,0.073,0.0502,0.0749,0.0436,0.0955,0.3024,0.747976878612717,0.715258082813386,0.519979894445841,-0.715258082813386,0.2588,6.93577981651376,"vegetation",1
0.0613,0.0336,0.0696,0.0505,0.0734,0.0474,0.0912,0.2766,0.707407407407407,0.691225924793641,0.504078303425775,-0.691225924793641,0.2292,5.83544303797468,"vegetation",1
0.0669,0.0412,0.076,0.0594,0.0838,0.0599,0.0982,0.255,0.619561765639886,0.622137404580153,0.443941109852775,-0.622137404580153,0.1951,4.25709515859766,"vegetation",1
0.0755,0.0481,0.0905,0.0765,0.0995,0.0786,0.119,0.2411,0.508289020957147,0.518261964735516,0.339072479866704,-0.518261964735516,0.1625,3.06743002544529,"vegetation",1
0.0812,0.0627,0.105,0.0922,0.1207,0.1009,0.1349,0.2318,0.393447550345657,0.430864197530864,0.264248704663212,-0.430864197530864,0.1309,2.29732408325074,"vegetation",1
0.0605,0.0396,0.0761,0.0585,0.0822,0.0595,0.0922,0.2608,0.628473306275367,0.633573441904165,0.477620396600567,-0.633573441904165,0.2013,4.38319327731092,"vegetation",1
0.0645,0.0406,0.0789,0.0598,0.0843,0.06,0.0976,0.2777,0.644655019247853,0.64562962962963,0.4798827604583,-0.64562962962963,0.2177,4.62833333333333,"vegetation",1
0.0702,0.0482,0.0899,0.0701,0.0954,0.0782,0.11,0.3268,0.613827160493827,0.646762408667171,0.496336996336996,-0.646762408667171,0.2486,4.17902813299233,"vegetation",1
0.0674,0.046,0.0865,0.0651,0.0896,0.0718,0.1094,0.309,0.622899159663865,0.65196471531676,0.477055449330784,-0.65196471531676,0.2372,4.30362116991643,"vegetation",1
0.0919,0.0805,0.1165,0.1004,0.142,0.1235,0.1454,0.2889,0.401066925315228,0.48420241459029,0.330416762606493,-0.48420241459029,0.1654,2.33927125506073,"vegetation",1
0.091,0.0738,0.1154,0.1019,0.1365,0.1202,0.1519,0.2797,0.398849712428107,0.465932914046122,0.29610750695088,-0.465932914046122,0.1595,2.32695507487521,"vegetation",1
0.0747,0.0531,0.0898,0.0737,0.1023,0.0831,0.1124,0.2423,0.489244007375538,0.533544303797468,0.366224978855371,-0.533544303797468,0.1592,2.91576413959085,"vegetation",1
0.0831,0.0538,0.0875,0.0773,0.1047,0.0883,0.1295,0.2798,0.520239065471339,0.56706804816578,0.367212313706328,-0.56706804816578,0.1915,3.1687429218573,"vegetation",1
0.0594,0.0376,0.0726,0.0533,0.0779,0.051,0.091,0.2767,0.688739700945987,0.676969696969697,0.505031275496329,-0.676969696969697,0.2257,5.42549019607843,"vegetation",1
0.0777,0.0519,0.0945,0.0794,0.0997,0.071,0.119,0.2702,0.583821805392732,0.545766590389016,0.388489208633094,-0.545766590389016,0.1992,3.8056338028169,"vegetation",1
0.0812,0.0565,0.0931,0.0792,0.1068,0.0794,0.1164,0.267,0.541570438799076,0.542461005199307,0.392801251956182,-0.542461005199307,0.1876,3.36272040302267,"vegetation",1
0.0704,0.0521,0.0922,0.0753,0.1043,0.0845,0.1115,0.2774,0.533020171318044,0.573008222285228,0.426587811776806,-0.573008222285228,0.1929,3.28284023668639,"vegetation",1
0.0665,0.0405,0.0802,0.0604,0.0764,0.0508,0.1004,0.3251,0.729715349827082,0.686640726329442,0.528084606345476,-0.686640726329442,0.2743,6.3996062992126,"vegetation",1
0.0692,0.0455,0.0888,0.0659,0.0944,0.0719,0.1111,0.2879,0.600333518621456,0.627473148671566,0.443107769423559,-0.627473148671566,0.216,4.00417246175243,"vegetation",1
0.0644,0.0421,0.0762,0.0627,0.0862,0.0603,0.0982,0.2649,0.629151291512915,0.617216117216117,0.459102175709171,-0.617216117216117,0.2046,4.39303482587065,"vegetation",1
0.0641,0.0393,0.0748,0.0583,0.0794,0.0552,0.1034,0.3177,0.703942075623491,0.689893617021276,0.508905248159582,-0.689893617021276,0.2625,5.7554347826087,"vegetation",1
0.0555,0.0254,0.0654,0.046,0.0657,0.0363,0.0837,0.3067,0.788338192419825,0.739155089311029,0.571209016393443,-0.739155089311029,0.2704,8.44903581267218,"vegetation",1
0.061,0.048,0.087,0.0689,0.0929,0.0688,0.1061,0.2737,0.598248175182482,0.597781669585522,0.441284886782517,-0.597781669585522,0.2049,3.9781976744186,"vegetation",1
0.0717,0.0599,0.1047,0.0889,0.1214,0.0932,0.134,0.3008,0.526903553299492,0.543751603797793,0.383624655013799,-0.543751603797793,0.2076,3.2274678111588,"vegetation",1
0.0749,0.0579,0.1012,0.0891,0.1144,0.0885,0.1336,0.2925,0.535433070866142,0.533018867924528,0.372917155597278,-0.533018867924528,0.204,3.30508474576271,"vegetation",1
0.0737,0.0479,0.0886,0.0731,0.0963,0.0705,0.1134,0.2892,0.608006672226856,0.596467016284847,0.436661698956781,-0.596467016284847,0.2187,4.10212765957447,"vegetation",1
0.0627,0.041,0.0792,0.0632,0.0833,0.0569,0.1018,0.2813,0.663512714370195,0.633091436865022,0.468546071521796,-0.633091436865022,0.2244,4.94376098418278,"vegetation",1
0.0804,0.0753,0.113,0.0986,0.1323,0.1215,0.1512,0.2844,0.401330376940133,0.485117493472585,0.305785123966942,-0.485117493472585,0.1629,2.34074074074074,"vegetation",1
0.0827,0.0627,0.1073,0.0942,0.1187,0.0994,0.1395,0.2646,0.453846153846154,0.474916387959866,0.309576837416481,-0.474916387959866,0.1652,2.66197183098592,"vegetation",1
0.0801,0.0737,0.1175,0.105,0.1391,0.1221,0.153,0.2703,0.377675840978593,0.440447641886491,0.27710843373494,-0.440447641886491,0.1482,2.21375921375921,"vegetation",1
0.0889,0.0792,0.1208,0.1094,0.1474,0.1267,0.1674,0.3087,0.418006430868167,0.476680220043052,0.296786389413989,-0.476680220043052,0.182,2.43646408839779,"vegetation",1
0.0744,0.0569,0.1012,0.0859,0.1181,0.0871,0.1332,0.3057,0.556517311608961,0.561287027579162,0.393028024606972,-0.561287027579162,0.2186,3.5097588978186,"vegetation",1
0.0827,0.0745,0.1206,0.1077,0.1381,0.1239,0.1523,0.3025,0.418855534709193,0.474890297415895,0.330255057167986,-0.474890297415895,0.1786,2.44148506860371,"vegetation",1
0.0881,0.0609,0.1052,0.09,0.1158,0.0968,0.139,0.2697,0.471759890859482,0.499582985821518,0.319794470271593,-0.499582985821518,0.1729,2.78615702479339,"vegetation",1
0.0881,0.0609,0.1052,0.09,0.1158,0.0968,0.139,0.2697,0.471759890859482,0.499582985821518,0.319794470271593,-0.499582985821518,0.1729,2.78615702479339,"vegetation",1
0.0947,0.0708,0.1145,0.0967,0.1335,0.1125,0.1406,0.2571,0.391233766233766,0.45336348219333,0.292934372642696,-0.45336348219333,0.1446,2.28533333333333,"vegetation",1
0.0807,0.0518,0.0964,0.0822,0.1057,0.0805,0.1251,0.2568,0.522680106729914,0.515044247787611,0.344854673998429,-0.515044247787611,0.1763,3.19006211180124,"vegetation",1
0.0871,0.0789,0.1147,0.0981,0.1444,0.1288,0.1429,0.2376,0.296943231441048,0.415549597855228,0.248883048620237,-0.415549597855228,0.1088,1.84472049689441,"non-vegetation",0
0.0864,0.0722,0.1112,0.1007,0.1365,0.1255,0.1387,0.2186,0.270560883464109,0.369245223927341,0.223621606493143,-0.369245223927341,0.0931,1.74183266932271,"non-vegetation",0
0.0915,0.0729,0.1153,0.1002,0.1363,0.1189,0.1304,0.2185,0.295198577356254,0.371195481644179,0.252507881914589,-0.371195481644179,0.0996,1.8376787216148,"non-vegetation",0
0.0943,0.0777,0.1208,0.1066,0.1409,0.1286,0.1422,0.2289,0.280559440559441,0.364530551415797,0.233629749393694,-0.364530551415797,0.1003,1.77993779160187,"non-vegetation",0
0.0826,0.0683,0.1032,0.0889,0.1213,0.1088,0.1192,0.2021,0.300096494049534,0.389003436426117,0.258014316837846,-0.389003436426117,0.0933,1.85753676470588,"non-vegetation",0
0.0824,0.0726,0.1065,0.092,0.1292,0.1143,0.1321,0.206,0.286294099281923,0.38255033557047,0.21857438627625,-0.38255033557047,0.0917,1.80227471566054,"non-vegetation",0
0.1158,0.1037,0.1516,0.1462,0.1844,0.1745,0.1941,0.295,0.256656017039404,0.337262012692656,0.206297280719689,-0.337262012692656,0.1205,1.69054441260745,"non-vegetation",0
0.1093,0.0934,0.1361,0.1278,0.1712,0.1559,0.1745,0.2852,0.293130809340286,0.381113801452785,0.24080922340657,-0.381113801452785,0.1293,1.82937780628608,"non-vegetation",0
0.0956,0.0875,0.1254,0.1169,0.1546,0.1476,0.1627,0.2781,0.306553911205074,0.408101265822785,0.261796733212341,-0.408101265822785,0.1305,1.88414634146341,"non-vegetation",0
0.0907,0.0737,0.1083,0.0969,0.1355,0.1188,0.132,0.2295,0.317829457364341,0.40625,0.269709543568465,-0.40625,0.1107,1.93181818181818,"non-vegetation",0
0.0885,0.0706,0.112,0.0972,0.1363,0.124,0.1502,0.2416,0.321663019693654,0.426210153482881,0.233282286881062,-0.426210153482881,0.1176,1.94838709677419,"non-vegetation",0
0.089,0.0762,0.1195,0.105,0.1457,0.1372,0.1537,0.2555,0.301247771836007,0.41747572815534,0.248778103616813,-0.41747572815534,0.1183,1.86224489795918,"non-vegetation",0
0.0923,0.0739,0.1114,0.0984,0.1354,0.1236,0.1373,0.2233,0.287402709714615,0.388249922287846,0.238491403216861,-0.388249922287846,0.0997,1.80663430420712,"non-vegetation",0
0.093,0.0792,0.1125,0.1009,0.1393,0.1305,0.1453,0.2374,0.290568089154662,0.40348802837718,0.240658479226548,-0.40348802837718,0.1069,1.81915708812261,"non-vegetation",0
0.0976,0.0835,0.1199,0.1141,0.1517,0.1434,0.1628,0.2631,0.294464944649447,0.395015906680806,0.235501291382954,-0.395015906680806,0.1197,1.8347280334728,"non-vegetation",0
0.0918,0.0697,0.1126,0.0992,0.1452,0.1316,0.1488,0.2511,0.312255030049647,0.433628318584071,0.255813953488372,-0.433628318584071,0.1195,1.9080547112462,"non-vegetation",0
0.0801,0.0524,0.0853,0.0714,0.1022,0.0853,0.1081,0.1838,0.366034931252323,0.440438871473354,0.259335388831792,-0.440438871473354,0.0985,2.15474794841735,"non-vegetation",0
0.0793,0.0603,0.0987,0.0842,0.1251,0.1051,0.1193,0.2074,0.32736,0.422496570644719,0.269666360575451,-0.422496570644719,0.1023,1.97335870599429,"non-vegetation",0
0.0946,0.0804,0.1242,0.1147,0.1606,0.1473,0.1648,0.2558,0.269163979161498,0.380836707152497,0.216357584403234,-0.380836707152497,0.1085,1.73659198913781,"non-vegetation",0
0.0734,0.0534,0.0956,0.0807,0.1176,0.0995,0.1244,0.1977,0.330417227456258,0.420258620689655,0.22756907792611,-0.420258620689655,0.0982,1.98693467336683,"non-vegetation",0
0.0921,0.0757,0.1186,0.1095,0.1491,0.138,0.1507,0.2591,0.304960967010828,0.405860010851872,0.264519277696437,-0.405860010851872,0.1211,1.87753623188406,"non-vegetation",0
0.0672,0.0549,0.0937,0.0783,0.1143,0.1027,0.1295,0.2699,0.44873859366613,0.550258472142447,0.351527290936405,-0.550258472142447,0.1672,2.62804284323272,"non-vegetation",0
0.0634,0.052,0.0922,0.0763,0.1141,0.1023,0.1292,0.2658,0.444172779136104,0.553931598947676,0.345822784810127,-0.553931598947676,0.1635,2.59824046920821,"non-vegetation",0
0.0625,0.0391,0.0739,0.0534,0.0847,0.066,0.0917,0.2268,0.549180327868852,0.618843683083512,0.424175824175824,-0.618843683083512,0.1608,3.43636363636364,"non-vegetation",0
0.0673,0.0405,0.0742,0.0529,0.0852,0.064,0.0892,0.2137,0.539070939863162,0.603150787696924,0.411026741498844,-0.603150787696924,0.1497,3.3390625,"non-vegetation",0
0.0687,0.0505,0.0934,0.0756,0.1158,0.1051,0.1345,0.2647,0.431584640346133,0.555686159271231,0.326152304609218,-0.555686159271231,0.1596,2.5185537583254,"non-vegetation",0
0.0649,0.0544,0.0917,0.0781,0.1122,0.1073,0.128,0.2748,0.438366919654541,0.557381694531029,0.364448857994042,-0.557381694531029,0.1675,2.56104380242311,"non-vegetation",0
0.0623,0.0491,0.0863,0.0744,0.1103,0.0988,0.1271,0.2659,0.45818480943241,0.56273875991772,0.353180661577608,-0.56273875991772,0.1671,2.6912955465587,"non-vegetation",0
0.0595,0.0371,0.0705,0.0515,0.0807,0.0645,0.0845,0.2055,0.522222222222222,0.599221789883268,0.417241379310345,-0.599221789883268,0.141,3.18604651162791,"non-vegetation",0
0.0657,0.0396,0.077,0.0557,0.0869,0.0668,0.0909,0.2107,0.518558558558559,0.581831831831832,0.397214854111406,-0.581831831831832,0.1439,3.15419161676647,"non-vegetation",0
0.0583,0.035,0.0662,0.0502,0.0774,0.0575,0.0794,0.2042,0.560565533053114,0.605345911949685,0.440056417489422,-0.605345911949685,0.1467,3.55130434782609,"non-vegetation",0
0.057,0.0299,0.0626,0.0431,0.0724,0.0466,0.0687,0.1946,0.613598673300166,0.637358014303744,0.478161792631979,-0.637358014303744,0.148,4.17596566523605,"non-vegetation",0
0.0691,0.0445,0.0801,0.0625,0.0996,0.0827,0.1096,0.25,0.502855425308085,0.6,0.390433815350389,-0.6,0.1673,3.0229746070133,"non-vegetation",0
0.0913,0.0818,0.1184,0.1069,0.1461,0.1325,0.1459,0.2553,0.316658071170707,0.409718387631143,0.272681954137587,-0.409718387631143,0.1228,1.92679245283019,"non-vegetation",0
0.0927,0.0766,0.1194,0.1101,0.1491,0.1428,0.1625,0.2635,0.297071129707113,0.410599571734475,0.237089201877934,-0.410599571734475,0.1207,1.8452380952381,"non-vegetation",0
0.0552,0.0307,0.0656,0.0445,0.0717,0.0437,0.0519,0.1204,0.467397928092626,0.460278956943602,0.397562391178178,-0.460278956943602,0.0767,2.75514874141876,"non-vegetation",0
0.0557,0.0296,0.065,0.0472,0.0741,0.043,0.05,0.1139,0.451880178457616,0.414028553693358,0.38987187309335,-0.414028553693358,0.0709,2.64883720930233,"non-vegetation",0
0.0558,0.0348,0.0652,0.045,0.0712,0.0448,0.0437,0.1193,0.453991468616697,0.452221545952526,0.463803680981595,-0.452221545952526,0.0745,2.66294642857143,"non-vegetation",0
0.0578,0.029,0.0656,0.0457,0.07,0.0448,0.0558,0.1346,0.500557413600892,0.493067110371603,0.413865546218487,-0.493067110371603,0.0898,3.00446428571429,"non-vegetation",0
0.0531,0.0328,0.0657,0.0448,0.0742,0.0429,0.0576,0.1493,0.553590010405827,0.538382277176713,0.443209279845336,-0.538382277176713,0.1064,3.48018648018648,"non-vegetation",0
0.0479,0.0345,0.0633,0.0426,0.0714,0.0449,0.0532,0.1214,0.460012026458208,0.480487804878049,0.390607101947308,-0.480487804878049,0.0765,2.70378619153675,"non-vegetation",0
0.0554,0.0305,0.0646,0.0453,0.0709,0.0415,0.0582,0.1562,0.580171977744057,0.550372208436725,0.457089552238806,-0.550372208436725,0.1147,3.76385542168675,"non-vegetation",0
0.0526,0.0291,0.0613,0.0426,0.0674,0.0395,0.0472,0.1238,0.516227801592162,0.487980769230769,0.447953216374269,-0.487980769230769,0.0843,3.13417721518987,"non-vegetation",0
0.0558,0.0281,0.0605,0.0411,0.0675,0.0365,0.0457,0.1383,0.582379862700229,0.54180602006689,0.503260869565218,-0.54180602006689,0.1018,3.78904109589041,"non-vegetation",0
